"Province_State" "Country_Region" "Confirmed" "Deaths"
"Lesotho" "Lesotho" 21598 657
"Liberia" "Liberia" 5812 287
"Libya" "Libya" 354866 5033
"Liechtenstein" "Liechtenstein" 3645 61
"Lithuania" "Lithuania" 392425 5693
"Luxembourg" "Luxembourg" 81124 842
"MS Zaandam" "MS Zaandam" 9 2
"Madagascar" "Madagascar" 43626 963
"Malawi" "Malawi" 61766 2296
"Johor" "Malaysia" 215751 3615
"Kedah" "Malaysia" 146632 1968
"Kelantan" "Malaysia" 136588 997
"Melaka" "Malaysia" 64212 893
"Negeri Sembilan" "Malaysia" 101894 1228
"Pahang" "Malaysia" 75220 644
"Perak" "Malaysia" 114926 1087
"Perlis" "Malaysia" 5215 108
"Pulau Pinang" "Malaysia" 143265 1579
"Sabah" "Malaysia" 215079 2482
"Sarawak" "Malaysia" 237762 1239
"Selangor" "Malaysia" 708170 9580
"Terengganu" "Malaysia" 68239 441
"W.P. Kuala Lumpur" "Malaysia" 192360 2543
"W.P. Labuan" "Malaysia" 10033 149
"W.P. Putrajaya" "Malaysia" 6878 23
"Maldives" "Maldives" 87186 242
"Mali" "Mali" 15879 559
"Malta" "Malta" 37580 460
"Marshall Islands" "Marshall Islands" 4 0
"Mauritania" "Mauritania" 37032 792
"Mauritius" "Mauritius" 17416 160
"Aguascalientes" "Mexico" 35485 2833
"Baja California" "Mexico" 66913 9632
"Baja California Sur" "Mexico" 55887 2360
"Campeche" "Mexico" 23784 2042
"Chiapas" "Mexico" 23125 2260
"Chihuahua" "Mexico" 67704 8045
"Ciudad de Mexico" "Mexico" 967802 39756
"Coahuila" "Mexico" 92427 7354
"Colima" "Mexico" 32944 1973
"Durango" "Mexico" 48448 3013
"Guanajuato" "Mexico" 186367 12478
"Guerrero" "Mexico" 76022 6093
"Hidalgo" "Mexico" 61700 7715
"Jalisco" "Mexico" 159993 16959
"Mexico" "Mexico" 372580 43731
"Michoacan" "Mexico" 72711 7987
"Morelos" "Mexico" 49047 4696
"Nayarit" "Mexico" 33783 2781
"Nuevo Leon" "Mexico" 202990 12899
"Oaxaca" "Mexico" 81083 5426
"Puebla" "Mexico" 123420 15155
"Queretaro" "Mexico" 96557 5476
"Quintana Roo" "Mexico" 59252 4021
"San Luis Potosi" "Mexico" 102577 6552
"Sinaloa" "Mexico" 73143 8647
"Sonora" "Mexico" 111140 8393
"Tabasco" "Mexico" 141320 5419
"Tamaulipas" "Mexico" 100928 6696
"Tlaxcala" "Mexico" 29118 2938
"Veracruz" "Mexico" 121707 14366
"Yucatan" "Mexico" 73082 5461
"Zacatecas" "Mexico" 41409 3339
"Micronesia" "Micronesia" 1 0
"Moldova" "Moldova" 330799 7576
"Monaco" "Monaco" 3399 36
"Mongolia" "Mongolia" 353504 1689
"Montenegro" "Montenegro" 141834 2075
"Morocco" "Morocco" 944803 14636
"Mozambique" "Mozambique" 151243 1929
"Namibia" "Namibia" 128859 3550
"Nepal" "Nepal" 810298 11372
"Aruba" "Netherlands" 15848 171
"Bonaire, Sint Eustatius and Saba" "Netherlands" 2402 19
"Curacao" "Netherlands" 17027 173
"Drenthe" "Netherlands" 41430 362
"Flevoland" "Netherlands" 46800 262
"Friesland" "Netherlands" 57405 493
"Gelderland" "Netherlands" 233612 2126
"Groningen" "Netherlands" 52808 271
"Limburg" "Netherlands" 140322 1726
"Noord-Brabant" "Netherlands" 324525 3194
"Noord-Holland" "Netherlands" 355926 2750
"Overijssel" "Netherlands" 136680 1170
"Sint Maarten" "Netherlands" 4484 75
"Utrecht" "Netherlands" 162672 1312
"Zeeland" "Netherlands" 36410 259
"Zuid-Holland" "Netherlands" 498073 4400
"Cook Islands" "New Zealand" 1 0
