"Province_State";"Country_Region";"Lat";"Long_";"Confirmed";"Deaths"
"Holy See";"Holy See";41.9029;12.4534;27;0
"Honduras";"Honduras";15.2;-86.2419;377420;10387
"Hungary";"Hungary";47.1625;19.5033;998488;32780
"Iceland";"Iceland";64.9631;-19.0208;16435;34
"Andaman and Nicobar Islands";"India";11.225999;92.968178;7676;129
"Andhra Pradesh";"India";15.9129;79.74;2071244;14426
"Arunachal Pradesh";"India";27.768456;96.384277;55247;280
"Assam";"India";26.357149;92.830441;615382;6072
"Bihar";"India";25.679658;85.60484;726188;9663
"Chandigarh";"India";30.733839;76.768278;65406;820
"Chhattisgarh";"India";21.264705;82.035366;1006542;13592
"Dadra and Nagar Haveli and Daman and Diu";"India";20.194742;73.080901;10682;4
"Delhi";"India";28.646519;77.10898;1440666;25095
"Goa";"India";15.359682;74.057396;178661;3378
"Gujarat";"India";22.694884;71.590923;827206;10091
"Haryana";"India";29.20004;76.332824;771544;10053
"Himachal Pradesh";"India";31.927213;77.233081;226395;3831
"Jammu and Kashmir";"India";33.75943;76.612638;335368;4461
"Jharkhand";"India";23.654536;85.557631;349135;5140
"Karnataka";"India";14.70518;76.166436;2993599;38175
"Kerala";"India";10.450898;76.405749;5101004;37495
"Ladakh";"India";34.1526;77.5771;21327;212
"Lakshadweep";"India";13.6999972;72.1833326;10370;51
"Madhya Pradesh";"India";23.541513;78.289633;793027;10526
"Maharashtra";"India";19.449759;76.108221;6629875;140739
"Manipur";"India";24.738975;93.882541;124918;1962
"Meghalaya";"India";25.536934;91.278882;84241;1467
"Mizoram";"India";23.309381;92.83822;131897;479
"Nagaland";"India";26.06702;94.470302;32050;695
"Odisha";"India";20.505428;84.418059;1047003;8393
"Puducherry";"India";11.882658;78.86498;128663;1870
"Punjab";"India";30.841465;75.40879;602980;16584
"Rajasthan";"India";26.583423;73.847973;954606;8955
"Sikkim";"India";27.571671;88.472712;32169;403
"Tamil Nadu";"India";11.006091;78.400624;2720271;36375
"Telangana";"India";18.1124;79.0193;674555;3981
"Tripura";"India";23.746783;91.743565;84721;818
"Uttar Pradesh";"India";26.925425;80.560982;1710332;22909
"Uttarakhand";"India";30.156447;79.197608;344106;7404
"West Bengal";"India";23.814082;87.979803;1609845;19383
"Indonesia";"Indonesia";-0.7893;113.9213;4253412;143739
"Iran";"Iran";32.427908;53.688046;6077438;128956
"Iraq";"Iraq";33.223191;43.679291;2074419;23665
"Ireland";"Ireland";53.1424;-7.6921;528964;5609
"Israel";"Israel";31.046051;34.851612;1340435;8176
"Abruzzo";"Italy";42.35122196;13.39843823;86124;2578
"Basilicata";"Italy";40.63947052;15.80514834;31299;625
"Calabria";"Italy";38.90597598;16.59440194;90959;1483
"Campania";"Italy";40.83956555;14.25084984;482337;8167
"Emilia-Romagna";"Italy";44.49436681;11.3417208;445473;13705
"Friuli Venezia Giulia";"Italy";45.6494354;13.76813649;126184;3930
"Lazio";"Italy";41.89277044;12.48366722;412217;8920
"Liguria";"Italy";44.41149315;8.9326992;119282;4446
"Lombardia";"Italy";45.46679409;9.190347404;916003;34280
"Marche";"Italy";43.61675973;13.5188753;120684;3133
"Molise";"Italy";41.55774754;14.65916051;15015;503
